,Product Name,Product Image Link,Brand,Price,Url
697,Solid Cotton Stretch Super Slim Fit Mens Trousers - Black,,STOP,Rs 1329,https://www.shoppersstop.com/stop-solid-cotton-stretch-super-slim-fit-mens-trousers/p-S21181B2CMDVBK/colorChange/S21181B2CMDVBK_BLACK
698,Solid Cotton Regular Fit Mens T-Shirt - Pink,,ALLEN SOLLY,Rs 1104,https://www.shoppersstop.com/allen-solly-solid-cotton-regular-fit-mens-t-shirt/p-A21KPQRGF029423/colorChange/A21KPQRGF029423_PINK
699,Printed Cotton Blend Super Slim Fit Mens Trousers - Natural,,ARROW SPORT,Rs 1399,https://www.shoppersstop.com/arrow-sport-printed-cotton-blend-super-slim-fit-mens-trousers/p-S2141ASABTR2444/colorChange/S2141ASABTR2444_BEIGE
700,Printed Cotton Mens Occasion Wear Kurta Set - Blue,https://sslimages.shoppersstop.com/sys-master/images/hd3/h8d/17337414746142/A21HGK43KURTA_BLUE.jpg_230Wx334H,HANGUP,Rs 899,https://www.shoppersstop.com/hangup-printed-cotton-mens-occasion-wear-kurta-set/p-A21HGK43KURTA/colorChange/A21HGK43KURTA_BLUE
701,Solid Cotton Polyester Fleece Slim Fit Mens Sweatshirt - Green,https://sslimages.shoppersstop.com/sys-master/images/h21/h0d/17446587760670/A20CCLPSS3434OL_GREEN.jpg_230Wx334H,CRIMSOUNE CLUB, Rs 1499,https://www.shoppersstop.com/crimsoune-club-solid-cotton-polyester-fleece-slim-fit-mens-sweatshirt/p-A20CCLPSS3434OL/colorChange/A20CCLPSS3434OL_GREEN
702,Printed Cotton Blend Regular Fit Mens Hoody - Oatmeal,https://sslimages.shoppersstop.com/sys-master/images/h40/h9c/16383028035614/S21183SLH436OT_OATMEAL.jpg_230Wx334H,LIFE,Rs 419,https://www.shoppersstop.com/life-printed-cotton-blend-regular-fit-mens-hoody/p-S21183SLH436OT/colorChange/S21183SLH436OT_OATMEAL
703,Solid Cotton Woven Mens Sportwear Cap - Olive,https://sslimages.shoppersstop.com/sys-master/images/hb5/h1e/17463510007838/S21LIFECASCAP1_OLIVE.jpg_230Wx334H,LIFE, Rs 499,https://www.shoppersstop.com/life-solid-cotton-woven-mens-sportwear-cap/p-S21LIFECASCAP1/colorChange/S21LIFECASCAP1_OLIVE
704,Mens Solid Polo T-Shirt - Sea Green,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/68A7CF06E4064B89831A192A89F1D91E/205169226_9456_68A7CF06E4064B89831A192A89F1D91E.jpg,U.S. POLO ASSN. DENIM, Rs 1399,https://www.shoppersstop.com/u-s-polo-assn-denim-mens-solid-polo-t-shirt/p-205169226/colorChange/205169226_SEA_GREEN
705,Mens Colour Block Socks - Multi,https://sslimages.shoppersstop.com/sys-master/images/h8c/h29/14934038151198/202233948_9900.jpg_230Wx334H,JOCKEY, Rs 119,https://www.shoppersstop.com/jockey-mens-colour-block-socks/p-202233948/colorChange/202233948_ASSORTED
706,Checks Terrylene Rayon Slim Fit Mens Workwear Blazer - Blue,https://sslimages.shoppersstop.com/sys-master/images/h23/h25/17263772663838/A21PAJW02651-B6_BLUE.jpg_230Wx334H,PARK AVENUE, Rs 7999,https://www.shoppersstop.com/park-avenue-checks-terrylene-rayon-slim-fit-mens-workwear-blazer/p-A21PAJW02651-B6/colorChange/A21PAJW02651-B6_BLUE
